Generation, Worst, Lower Quartile, Mean, Median, Upper Quartile, Best, Median Fitness
3388,0.55,0.725,0.7765,0.775,0.825,0.925,32.3324667
3389,0.525,0.725,0.77775,0.775,0.825,0.95,32.25350904
3390,0.55,0.725,0.782375,0.8,0.825,0.925,33.09302063
3391,0.475,0.725,0.781375,0.8,0.825,0.95,33.07564737
3392,0.5,0.725,0.773,0.775,0.825,0.95,32.24025966
3393,0.575,0.725,0.774,0.775,0.825,0.975,32.10260742
3394,0.6,0.74375,0.77925,0.775,0.825,0.95,32.3515905
3395,0.55,0.725,0.77725,0.775,0.83125,0.95,32.24568918
3396,0.55,0.725,0.7855,0.8,0.85,0.925,33.21599462
3397,0.55,0.725,0.77775,0.775,0.85,0.95,32.2826796
3398,0.6,0.725,0.780875,0.8,0.825,0.95,32.97650825
3399,0.475,0.725,0.777,0.775,0.825,0.95,32.30665425
3400,0.6,0.725,0.775125,0.775,0.825,0.925,32.23692701
3401,0.55,0.725,0.778875,0.775,0.825,0.975,32.41424332
3402,0.5,0.725,0.7715,0.775,0.825,0.975,32.09296151
3403,0.525,0.71875,0.764375,0.775,0.825,0.95,32.17261816
3404,0.475,0.725,0.76575,0.775,0.825,0.925,32.19792757
3405,0.575,0.725,0.77275,0.775,0.825,0.925,32.17119463
3406,0.525,0.725,0.7735,0.775,0.825,0.925,32.2318622
3407,0.475,0.725,0.77025,0.775,0.825,0.95,32.23218037
3408,0.475,0.725,0.766,0.775,0.825,0.95,32.15027289
3409,0.45,0.725,0.774375,0.775,0.825,0.975,32.19728883
3410,0.575,0.725,0.773125,0.775,0.825,0.95,32.17621822
3411,0.475,0.725,0.776125,0.775,0.825,0.95,32.4734929
3412,0.6,0.725,0.779,0.8,0.825,0.975,32.91511286
3413,0.5,0.725,0.782125,0.775,0.825,0.95,32.23481777
3414,0.475,0.725,0.771375,0.775,0.825,0.925,32.2539888
3415,0.525,0.725,0.775875,0.775,0.825,0.95,32.35548527
3416,0.5,0.75,0.782,0.775,0.825,1,32.27837519
3417,0.275,0.75,0.78025,0.8,0.825,0.95,33.14339965
3418,0.45,0.75,0.78725,0.8,0.85,0.95,33.17959583
3419,0.525,0.725,0.7765,0.775,0.825,0.95,32.43352835
3420,0.6,0.725,0.778875,0.775,0.825,0.975,32.32673821
3421,0.5,0.725,0.773625,0.775,0.85,0.925,32.28853732
3422,0.55,0.75,0.775,0.775,0.825,0.925,32.24506189
3423,0.55,0.725,0.7775,0.775,0.825,0.95,32.26824285
3424,0.4,0.725,0.774625,0.775,0.825,1,32.19726579
3425,0.4,0.725,0.77475,0.775,0.825,0.95,32.41158463
3426,0.525,0.725,0.773375,0.775,0.825,0.95,32.33815642
3427,0.575,0.725,0.77125,0.775,0.825,0.95,32.22747141
3428,0.55,0.7,0.765125,0.775,0.825,0.95,32.18492869
3429,0.575,0.725,0.777375,0.775,0.825,0.95,32.24235852
3430,0.55,0.725,0.77925,0.775,0.825,0.975,32.38505901
3431,0.575,0.725,0.775625,0.775,0.825,0.925,32.46145292
3432,0.525,0.725,0.779,0.775,0.825,0.95,32.39633738
3433,0.575,0.725,0.785375,0.775,0.825,0.975,32.3571136
3434,0.6,0.725,0.780375,0.8,0.825,0.95,32.97620124
3435,0.6,0.725,0.77725,0.775,0.825,0.95,32.27642475
3436,0.5,0.725,0.780625,0.8,0.825,0.95,33.17123798
3437,0.525,0.725,0.7805,0.775,0.825,0.95,32.25148349
3438,0.55,0.725,0.785875,0.8,0.825,0.975,33.1936658
3439,0.5,0.75,0.786,0.7875,0.85,0.95,32.79382473
3440,0.55,0.725,0.7835,0.8,0.825,0.975,33.13790356
3441,0.45,0.725,0.780125,0.8,0.85,1,32.97894524
3442,0.6,0.75,0.79025,0.8,0.83125,0.975,33.19176293
3443,0.6,0.75,0.790875,0.8,0.85,0.95,33.22474222
3444,0.575,0.725,0.777875,0.775,0.825,0.925,32.32770938
3445,0.525,0.725,0.78,0.775,0.825,0.95,32.36346079
3446,0.575,0.75,0.787625,0.8,0.85,0.95,33.1759427
3447,0.525,0.725,0.78675,0.7875,0.85,0.925,32.7452468
3448,0.525,0.75,0.7885,0.8,0.825,0.975,33.20371771
3449,0.6,0.75,0.7855,0.8,0.825,0.95,33.06800713
3450,0.525,0.75,0.786375,0.8,0.85,0.975,33.08209915
3451,0.55,0.75,0.798125,0.8,0.85,0.975,33.34247652
3452,0.575,0.74375,0.778,0.775,0.825,0.95,32.27703566
3453,0.575,0.74375,0.782875,0.8,0.825,0.95,32.8943854
3454,0.525,0.725,0.77675,0.775,0.85,0.95,32.35580202
3455,0.55,0.725,0.77875,0.775,0.825,0.925,32.26265921
3456,0.575,0.725,0.778875,0.775,0.85,0.95,32.19004062
3457,0.525,0.725,0.77525,0.775,0.825,0.925,32.38462744
3458,0.6,0.75,0.78675,0.8,0.825,0.95,33.09220026
3459,0.55,0.75,0.783,0.8,0.83125,0.925,33.0482274
3460,0.575,0.725,0.78125,0.8,0.825,0.975,32.87266089
3461,0.575,0.725,0.778625,0.8,0.825,0.975,32.96291207
3462,0.575,0.74375,0.778125,0.775,0.825,0.95,32.38747277
3463,0.6,0.725,0.784125,0.8,0.825,0.95,33.10994051
3464,0.6,0.725,0.785,0.775,0.825,0.975,32.35543497
3465,0.525,0.725,0.78625,0.8,0.83125,0.975,33.11838997
3466,0.6,0.75,0.7885,0.8,0.825,0.925,33.19930447
3467,0.45,0.75,0.786875,0.8,0.85,0.95,33.14543627
3468,0.525,0.75,0.7885,0.8,0.85,0.95,33.14929973
3469,0.575,0.75,0.792125,0.8,0.85,0.95,33.14830766
3470,0.575,0.74375,0.784625,0.8,0.825,0.95,33.02938841
3471,0.45,0.75,0.782,0.8,0.83125,0.975,33.14664469
3472,0.5,0.725,0.77925,0.7875,0.85,0.9,32.73484509
3473,0.425,0.725,0.76475,0.775,0.825,0.925,32.1428215
3474,0.5,0.725,0.77275,0.775,0.825,1,32.32713751
3475,0.525,0.725,0.775,0.775,0.825,0.95,32.37477696
3476,0.55,0.75,0.78525,0.775,0.85,0.975,32.42752281
3477,0.575,0.75,0.793625,0.8,0.85,0.975,33.26744861
3478,0.575,0.75,0.79025,0.8,0.85,0.95,33.14692492
3479,0.5,0.725,0.772875,0.775,0.85,0.975,32.31674045
3480,0.525,0.725,0.765,0.775,0.825,0.925,32.24735508
3481,0.45,0.74375,0.783125,0.775,0.825,0.95,32.45653653
3482,0.55,0.725,0.779125,0.775,0.825,0.925,32.31527604
3483,0.5,0.75,0.784125,0.8,0.825,0.925,33.13800044
3484,0.575,0.725,0.7755,0.775,0.825,0.925,32.23190328
3485,0.55,0.725,0.78025,0.8,0.83125,0.975,33.13636655
3486,0.525,0.725,0.771375,0.775,0.825,0.975,32.2210904
3487,0.525,0.725,0.7785,0.8,0.825,0.95,33.00161462
3488,0.55,0.725,0.7745,0.775,0.825,0.925,32.1817653
3489,0.525,0.725,0.7835,0.8,0.825,0.925,33.05605288
