Generation, Worst, Lower Quartile, Mean, Median, Upper Quartile, Best
45, 0.25581669213691893, 0.4640987468051468, 0.5252324170208145, 0.5201890343742518, 0.5886288146970099, 0.7780422412956313
46, 0.18248000968724196, 0.4654760825194444, 0.5300538290924133, 0.5387199160004676, 0.5908300590742923, 0.7759285966936826
47, 0.30591814030852615, 0.46690472712960746, 0.5326314337637482, 0.5363828277502529, 0.5923486368476328, 0.7794395734910105
48, 0.2559002912607437, 0.4650652408231938, 0.5288956236834712, 0.5181850567395552, 0.5905830414704021, 0.8047230990388285
49, 0.30718885312917765, 0.46758830071233665, 0.527431294475605, 0.5215802486544188, 0.5890445852826164, 0.8475527730821817
50, 0.23380717312000598, 0.46490438167331505, 0.5297043605499422, 0.5213066578405021, 0.5916441452967449, 0.876883808244925
51, 0.25805333055070867, 0.47137795809999494, 0.5367528367584422, 0.539753785573533, 0.5935312962736271, 0.8551998378047291
52, 0.26070836315096985, 0.4659341373127465, 0.5323287030390517, 0.5383398917809508, 0.5927597964401855, 0.7802934449254371
53, 0.28164884321964123, 0.4858257285997186, 0.539451535077045, 0.5401656687762572, 0.5956114510806447, 0.8500331937884391
54, 0.23252848265202952, 0.4851651953342323, 0.5365552890244617, 0.5400720191770221, 0.5943561875886525, 0.847907278154721
55, 0.20603745453029093, 0.4883505783978002, 0.5395766619538773, 0.5413846947891148, 0.5945184678529356, 0.8561258553311232
56, 0.2832681047054242, 0.4870359080715743, 0.540728447115612, 0.5411065563693619, 0.5940444560947752, 0.830265091805112
57, 0.25986279525574807, 0.48789059564750703, 0.5452280036791072, 0.5423356170026199, 0.5964198322587597, 0.8299180951689353
58, 0.3114773050084489, 0.4876808161661413, 0.5441399237084659, 0.5411608035882857, 0.5966187283576722, 0.870629365357912
59, 0.2830611115599545, 0.4871945936768715, 0.5407328186913696, 0.5414870755969354, 0.5953772917585443, 0.8611553588312955
60, 0.284241075039423, 0.488484080619702, 0.5463911775349819, 0.5422963485079749, 0.5962081143158521, 0.8398031276287504
61, 0.3046424400354837, 0.4883637125443571, 0.5488413068859358, 0.5419426464464046, 0.6158464290396688, 0.8268687983984473
62, 0.25678839750112237, 0.4891326134643764, 0.548839475104242, 0.5428346742770624, 0.6155947188945449, 0.7974773712377624
63, 0.3072149871892339, 0.4896076723735211, 0.5514186887972431, 0.5450763723052213, 0.6168992106833565, 0.8229313013654191
64, 0.2590060685340972, 0.4901237951649665, 0.5515398583480283, 0.5429091007689287, 0.6175406011140163, 0.8232939523731219
65, 0.2563079330731706, 0.4900138458210888, 0.5510847750854231, 0.5441763940066717, 0.6163990322779572, 0.8236397239613835
